"","age","gender","employment","marital_status","treatment","correction"
"438",36,"Female",1,0,"control",1
"439",39,"Male",1,1,"responsibility",0
"440",48,"Male",0,0,"responsibility",0
"441",24,"Female",1,0,"acceptability",1
"442",74,"Female",0,1,"responsibility",1
"443",31,"Male",0,0,"responsibility",1
"444",62,"Female",1,0,"responsibility",0
"445",47,"Male",0,0,"acceptability",0
"446",74,"Female",0,0,"control",0
"447",19,"Male",0,0,"acceptability",1
"448",37,"Male",1,1,"control",0
"449",35,"Female",1,1,"acceptability",1
"450",70,"Male",0,1,"acceptability",1
"451",60,"Female",0,0,"acceptability",0
"452",59,"Male",1,0,"responsibility",0
"453",33,"Male",1,0,"control",1
"454",32,"Male",1,1,"responsibility",1
"455",38,"Female",1,1,"responsibility",1
"456",20,"Female",1,0,"responsibility",1
"457",35,"Male",1,1,"responsibility",1
"458",23,"Female",1,1,"acceptability",1
"459",50,"Female",1,1,"acceptability",1
"460",22,"Male",0,0,"responsibility",1
"461",64,"Female",1,0,"control",1
"462",30,"Female",0,1,"acceptability",1
"463",61,"Female",1,1,"responsibility",1
"464",24,"Male",1,0,"acceptability",0
"465",68,"Female",0,1,"acceptability",0
"466",57,"Female",1,0,"control",1
"467",25,"Male",1,1,"control",1
"468",71,"Female",0,0,"acceptability",0
"469",48,"Male",0,0,"acceptability",0
"470",19,"Female",0,0,"acceptability",0
"471",64,"Male",0,1,"control",0
"472",56,"Female",1,1,"responsibility",1
"473",47,"Male",1,1,"control",1
"474",24,"Male",1,1,"control",1
"475",37,"Female",1,0,"acceptability",1
"476",38,"Female",0,1,"acceptability",1
"477",41,"Female",0,1,"control",1
"478",54,"Female",1,0,"control",0
"479",41,"Male",1,1,"control",0
"480",30,"Female",0,0,"responsibility",0
"481",30,"Female",1,0,"control",1
"482",25,"Male",1,1,"acceptability",1
"483",30,"Female",0,1,"control",0
"484",34,"Male",1,0,"responsibility",0
"485",31,"Male",1,1,"responsibility",1
"486",45,"Male",1,0,"acceptability",1
"487",53,"Female",1,1,"acceptability",0
"488",18,"Female",0,0,"responsibility",1
"489",58,"Male",1,1,"control",0
"490",40,"Male",1,1,"acceptability",0
"491",42,"Male",1,1,"control",1
"492",48,"Male",1,1,"acceptability",1
"493",59,"Male",0,0,"responsibility",1
"494",63,"Female",1,0,"control",0
"495",19,"Female",0,0,"responsibility",0
"496",25,"Male",1,1,"control",1
"497",32,"Male",0,0,"acceptability",1
"498",30,"Male",1,0,"acceptability",1
"499",48,"Female",1,0,"control",1
"500",35,"Female",1,1,"control",1
"501",24,"Female",1,0,"acceptability",0
"502",43,"Female",0,1,"control",0
"503",45,"Female",0,1,"control",0
"504",34,"Female",0,0,"acceptability",1
